,date,open,high,low,close,volume,average,barCount
130,2022-11-25 10:00:00,81.228,81.228,81.228,81.228,4892.0,81.228,1
131,2022-11-25 11:00:00,81.228,81.228,81.228,81.228,0.0,81.228,0
132,2022-11-25 12:00:00,81.228,81.228,81.228,81.228,0.0,81.228,0
133,2022-11-25 13:00:00,81.228,81.228,81.228,81.228,0.0,81.228,0
134,2022-11-28 09:00:00,81.764,81.764,81.764,81.764,50.0,81.764,2
135,2022-11-28 10:00:00,81.907,81.907,81.907,81.907,39.0,81.907,3
136,2022-11-28 11:00:00,81.951,81.951,81.951,81.951,210.0,81.951,3
137,2022-11-28 12:00:00,81.908,82.908,81.908,82.908,60.0,82.408,2
138,2022-11-28 13:00:00,82.908,82.908,82.908,82.908,0.0,82.908,0
139,2022-11-28 14:00:00,81.938,82.165,81.938,81.938,66.0,82.0137,3
140,2022-11-28 15:00:00,83.183,83.183,81.889,81.889,60.0,82.4553,3
141,2022-11-28 16:00:00,81.675,81.675,81.675,81.675,500.0,81.675,1
142,2022-11-29 10:00:00,81.669,81.684,81.669,81.684,676.0,81.6765,2
143,2022-11-29 11:00:00,81.735,81.735,81.517,81.517,415.0,81.7122,5
144,2022-11-29 12:00:00,81.517,81.517,81.517,81.517,0.0,81.517,0
145,2022-11-29 13:00:00,81.517,81.517,81.517,81.517,0.0,81.517,0
146,2022-11-29 14:00:00,81.825,83.052,81.825,83.052,70.0,82.4385,2
147,2022-11-29 15:00:00,81.983,81.983,81.983,81.983,20.0,81.983,2
148,2022-11-29 16:00:00,81.909,82.096,81.909,82.096,32.0,82.0025,2
149,2022-11-30 10:00:00,81.546,81.646,81.279,81.279,106.0,81.5781,3
150,2022-11-30 11:00:00,81.55,82.781,81.55,82.714,202.0,81.8175,8
151,2022-11-30 12:00:00,82.714,82.714,82.714,82.714,0.0,82.714,0
152,2022-11-30 13:00:00,81.656,81.656,81.656,81.656,50.0,81.656,2
153,2022-11-30 14:00:00,81.805,81.805,81.805,81.805,3.0,81.805,1
154,2022-11-30 15:00:00,82.128,82.128,82.128,82.128,100.0,82.128,1
155,2022-11-30 16:00:00,82.128,82.128,82.128,82.128,0.0,82.128,0
156,2022-12-01 08:00:00,82.59,82.59,82.49,82.49,9.0,82.5233,3
157,2022-12-01 09:00:00,82.49,82.49,82.49,82.49,0.0,82.49,0
158,2022-12-01 10:00:00,83.268,83.268,82.552,82.596,760.0,82.732,8
159,2022-12-01 11:00:00,82.724,82.724,82.536,82.536,52.0,82.6634,3
160,2022-12-01 12:00:00,82.711,82.972,82.711,82.972,1862.0,82.7127,2
161,2022-12-01 13:00:00,82.972,82.972,82.972,82.972,0.0,82.972,0
162,2022-12-01 14:00:00,83.802,83.802,82.923,83.016,50.0,83.1546,3
163,2022-12-01 15:00:00,83.262,83.262,82.727,82.942,883.0,83.0628,4
164,2022-12-01 16:00:00,82.971,82.988,82.908,82.908,1995.0,82.9682,4
165,2022-12-02 09:00:00,82.653,82.803,82.51,82.61,281.0,82.6008,10
166,2022-12-02 10:00:00,82.761,82.761,82.761,82.761,50.0,82.761,2
167,2022-12-02 11:00:00,82.566,82.789,82.566,82.789,119.0,82.7796,3
168,2022-12-02 12:00:00,82.841,82.841,82.841,82.841,4.0,82.841,1
169,2022-12-02 13:00:00,82.967,83.067,82.952,82.952,85.0,82.9776,5
170,2022-12-02 14:00:00,82.952,82.952,82.952,82.952,0.0,82.952,0
171,2022-12-02 15:00:00,83.02,83.02,83.02,83.02,100.0,83.02,1
172,2022-12-02 16:00:00,83.02,83.02,83.02,83.02,0.0,83.02,0
173,2022-12-05 10:00:00,83.36,83.46,83.36,83.46,22.0,83.41,2
174,2022-12-05 11:00:00,83.46,83.46,83.46,83.46,0.0,83.46,0
175,2022-12-05 12:00:00,83.46,83.46,83.46,83.46,0.0,83.46,0
176,2022-12-05 13:00:00,83.46,83.46,83.46,83.46,0.0,83.46,0
177,2022-12-05 14:00:00,83.46,83.46,83.46,83.46,0.0,83.46,0
178,2022-12-05 15:00:00,82.598,82.598,82.598,82.598,270.0,82.598,1
179,2022-12-05 16:00:00,82.598,82.598,82.598,82.598,0.0,82.598,0
180,2022-12-06 09:00:00,82.98,83.08,82.98,82.98,45.0,83.0133,3
181,2022-12-06 10:00:00,82.98,82.98,82.98,82.98,0.0,82.98,0
182,2022-12-06 11:00:00,83.2,83.2,83.2,83.2,20.0,83.2,2
183,2022-12-06 12:00:00,82.564,82.564,82.564,82.564,16.0,82.564,1
184,2022-12-06 13:00:00,82.536,83.109,82.536,83.109,37.0,83.0006,4
185,2022-12-06 14:00:00,82.927,82.927,82.927,82.927,2000.0,82.927,2
186,2022-12-06 15:00:00,83.242,84.999,83.242,84.999,300.0,83.8705,4
187,2022-12-06 16:00:00,84.999,84.999,84.999,84.999,0.0,84.999,0
188,2022-12-07 08:00:00,83.295,83.295,83.295,83.295,100.0,83.295,1
189,2022-12-07 09:00:00,83.766,83.766,83.437,83.437,120.0,83.6143,6
190,2022-12-07 10:00:00,83.437,83.437,83.437,83.437,0.0,83.437,0
191,2022-12-07 11:00:00,83.32,83.32,83.32,83.32,50.0,83.32,2
192,2022-12-07 12:00:00,84.199,84.199,84.199,84.199,30.0,84.199,1
